Title,Course,Length,Price K€,Format,Link
Consultant Oracle SIRH,Oracle HRIS Consultant,3m,8,Bootcamp,https://datascientest.com/formation-consultant-oracle-sirh
Consultant Oracle ERP Cloud Finance,Consultant Oracle ERP Cloud Finance,3m,7.5,Bootcamp,https://datascientest.com/formation-consultant-oracle-erp-cloud-finance
Product Builder No-Code & IA,Product Builder No-Code & IA,14w,8,Bootcamp/Part-time,https://datascientest.com/formation-product-builder-no-code
Data Analyst,Data Analyst,11w,6.5,Bootcamp/Part-time,https://datascientest.com/formation-data-analyst
Data Scientist,Data Scientist,12w,7.2,Bootcamp/Part-time,https://datascientest.com/formation-data-scientist
Business Analyst,Business Analyst,20+w,12,Bootcamp/Part-time,https://datascientest.com/formation-business-analyst
Data Engineer,Data Engineer,13w,7.5,Bootcamp/Part-time,https://datascientest.com/formation-data-engineer
Machine Learning Engineer,Machine Learning Engineer,20+w,13,Bootcamp/Part-time,https://datascientest.com/formation-machine-learning-engineer
Analyste Cybersécurité,Cybersecurity Analyst,11w,7.2,Bootcamp/Part-time,https://datascientest.com/formation-analyste-cybersecurite
Administrateur Cybersécurité,Cybersecurity Administrator,5m,8.5,Bootcamp/Part-time,https://datascientest.com/formation-administrateur-cybersecurite
Consultant Cybersécurité,Cybersecurity Consultant,11w,8.2,Bootcamp/Part-time,https://datascientest.com/formation-consultant-cybersecurite
Ingénieur Cybersécurité,Cybersecurity Engineer,6m,12,Bootcamp/Part-time,https://datascientest.com/formation-ingenieur-cybersecurite
Ingénieur DevOps,DevOps Engineer,11w,7.7,Bootcamp/Part-time,https://datascientest.com/formation-devops
Administrateur Cloud,Cloud Administrator,4m,7,Bootcamp/Part-time,https://datascientest.com/formation-administrateur-cloud
Consultant SAP S/4HANA Supply Chain,Consultant SAP S/4HANA Supply Chain,12w,8.5,Bootcamp/Part-time,https://datascientest.com/formation-sap-supply-chain-consultant
Consultant SAP S/4HANA Finance,Consultant SAP S/4HANA Finance,12w,8.5,Bootcamp/Part-time,https://datascientest.com/formation-sap-finance-consultant
MLOps,MLOps,5m,4,Part-time,https://datascientest.com/formation-ml-ops
Marketing Digital Data & IA,Marketing Digital Data & IA,17w,5.5,Part-time,https://datascientest.com/formation-marketing-digital-et-data
Data Product Manager,Data Product Manager,12w,3.5,Part-time,https://datascientest.com/formation-data-product-manager
Software Engineer,Software Engineer,12m,11.5,Part-time,https://datascientest.com/formation-software-engineer
Deep Learning (+ Computer vision + NLP),Deep Learning (+ Computer vision + NLP),3m - 6m - 9m,2 - 5 - 7.5,Part-time bundle,https://datascientest.com/formation-deep-learning
Prompt Engineering & No-Code,Prompt Engineering & No-Code,5w,3,Short,https://datascientest.com/formation-prompt-engineering-no-code
Power BI PL-300,Power BI PL-300,2d - 5d,1.3 - 1.6 - 2.5 - 3-5,Very short,https://datascientest.com/formation-power-bi
SQL,SQL,3d,1.6,Very short,https://datascientest.com/formation-sql
Fondamentaux de la cybersécurité,Cybersecurity Fundamentals,5d,2.5,Very short,https://datascientest.com/formation-fondamentaux-cybersecurite
ISO-27001,ISO-27001,5d,4,Very short,https://datascientest.com/formation-iso-27001
Solutions Architect (AWS),Solutions Architect (AWS),4d,2.9,Very short,https://datascientest.com/formation-aws
Microsoft Azure,Microsoft Azure,5d,2.5,Very short,https://datascientest.com/formation-microsoft-azure